JobID	JobTitle	CompanyName	Location	JobURL	RobotCode	CreatedAt	NormalizedJob	City	Country	Region	GeoID
9717	Client Service Officer (M/F)	BIL Suisse	Zurich, Switzerland (On-site)	https://www.linkedin.com/jobs/view/4235092011/	0	2025-06-13 00:44:04.467	Officer	Zurich	Switzerland	Europe	102436504
9722	Tax Administrator, Officer with verification	State Street	Zurich, Zurich, Switzerland (On-site)	https://www.linkedin.com/jobs/view/4233380480/	0	2025-06-13 00:44:04.510	Officer	Zurich	Switzerland	Europe	102436504
9723	Senior Compliance Officer	Broadgate	Zurich, Switzerland (On-site)	https://www.linkedin.com/jobs/view/4245327945/	0	2025-06-13 00:44:04.513	Officer	Zurich	Switzerland	Europe	102436504
9725	Senior Compliance Officer	Ateca Consulting	Zurich, Switzerland (On-site)	https://www.linkedin.com/jobs/view/4232680135/	0	2025-06-13 00:44:04.530	Officer	Zurich	Switzerland	Europe	102436504
9780	Software Engineer with verification	Open Systems	Zurich, Zurich, Switzerland	https://www.linkedin.com/jobs/view/3154124651/	0	2025-06-13 00:45:26.387	Software Engineer	Zurich	Switzerland	Europe	102436504
9787	Software Engineer with verification	Glocomms	Zurich, Switzerland (On-site)	https://www.linkedin.com/jobs/view/4245440983/	0	2025-06-13 00:45:26.430	Software Engineer	Zurich	Switzerland	Europe	102436504
9799	Software Engineer II	Dentsply Sirona Brasil	Zurich, Zurich, Switzerland (On-site)	https://www.linkedin.com/jobs/view/4245333361/	0	2025-06-13 00:45:26.510	Software Engineer	Zurich	Switzerland	Europe	102436504
9800	Sales Specialist – Data & AI with verification	Crayon	Switzerland (Remote)	https://www.linkedin.com/jobs/view/4197763603/	0	2025-06-13 00:45:51.680	Specialist	Zurich	Switzerland	Europe	102436504
9802	Pricing Specialist (80-100%) with verification	Canon EMEA	Zurich, Zurich, Switzerland (Remote)	https://www.linkedin.com/jobs/view/4224552862/	0	2025-06-13 00:45:51.697	Specialist	Zurich	Switzerland	Europe	102436504
9803	Customer Service Specialist with verification	Hays	Zurich, Switzerland (Hybrid)	https://www.linkedin.com/jobs/view/4247416228/	0	2025-06-13 00:45:51.707	Specialist	Zurich	Switzerland	Europe	102436504
